  0.7351E+00  0.7795E+00  0.8140E+00  0.8325E+00  0.8316E+00  0.8113E+00
  0.7739E+00  0.7225E+00  0.6396E+00  0.5050E+00  0.1344E+00  0.4143E-01
  0.4313E-01  0.4491E-01  0.4677E-01  0.4871E-01  0.5075E-01  0.5288E-01
  0.5511E-01  0.5745E-01  0.5989E-01  0.6245E-01  0.6514E-01  0.6795E-01
  0.7090E-01  0.7399E-01  0.7722E-01  0.8062E-01  0.8418E-01  0.8791E-01
  0.9183E-01  0.9594E-01  0.1002E+00  0.1048E+00  0.1095E+00  0.1145E+00
  0.1197E+00  0.1252E+00  0.1310E+00  0.1371E+00  0.1434E+00  0.1501E+00
  0.1572E+00  0.1646E+00  0.1723E+00  0.1805E+00  0.1891E+00  0.1981E+00
  0.2076E+00  0.2176E+00  0.2282E+00  0.2393E+00  0.2511E+00  0.2635E+00
  0.2767E+00  0.2906E+00  0.3055E+00  0.3212E+00  0.3380E+00  0.3560E+00
  0.3752E+00  0.3959E+00  0.4181E+00  0.4423E+00  0.4685E+00  0.4972E+00
  0.5286E+00  0.5634E+00  0.6019E+00  0.6445E+00  0.6909E+00  0.7386E+00
  0.7826E+00  0.8164E+00  0.8341E+00  0.8325E+00  0.8116E+00  0.7741E+00
  0.7227E+00  0.6398E+00  0.5050E+00  0.1250E+00  0.4143E-01  0.4313E-01
  0.4491E-01  0.4677E-01  0.4871E-01  0.5075E-01  0.5288E-01  0.5511E-01
  0.5745E-01  0.5989E-01  0.6246E-01  0.6514E-01  0.6796E-01  0.7090E-01
  0.7399E-01  0.7723E-01  0.8063E-01  0.8418E-01  0.8792E-01  0.9183E-01
  0.9593E-01  0.1002E+00  0.1048E+00  0.1095E+00  0.1145E+00  0.1197E+00
  0.1252E+00  0.1309E+00  0.1370E+00  0.1433E+00  0.1500E+00  0.1570E+00
  0.1644E+00  0.1721E+00  0.1802E+00  0.1888E+00  0.1978E+00  0.2073E+00
  0.2173E+00  0.2278E+00  0.2389E+00  0.2507E+00  0.2631E+00  0.2762E+00
  0.2902E+00  0.3050E+00  0.3207E+00  0.3375E+00  0.3555E+00  0.3748E+00
  0.3954E+00  0.4178E+00  0.4419E+00  0.4682E+00  0.4970E+00  0.5285E+00
  0.5634E+00  0.6021E+00  0.6449E+00  0.6913E+00  0.7391E+00  0.7832E+00
  0.8168E+00  0.8344E+00  0.8326E+00  0.8117E+00  0.7741E+00  0.7227E+00
  0.6398E+00  0.5050E+00  0.1323E+00  0.4143E-01  0.4313E-01  0.4491E-01
  0.4677E-01  0.4871E-01  0.5075E-01  0.5288E-01  0.5511E-01  0.5745E-01
  0.5989E-01  0.6246E-01  0.6514E-01  0.6796E-01  0.7091E-01  0.7400E-01
