  0.7125E+00  0.6460E+00  0.5226E+00  0.2901E+00  0.3683E-01  0.3832E-01
  0.3997E-01  0.4169E-01  0.4348E-01  0.4533E-01  0.4724E-01  0.4921E-01
  0.5124E-01  0.5336E-01  0.5555E-01  0.5783E-01  0.6020E-01  0.6266E-01
  0.6523E-01  0.6790E-01  0.7069E-01  0.7360E-01  0.7663E-01  0.7980E-01
  0.8312E-01  0.8658E-01  0.9020E-01  0.9398E-01  0.9794E-01  0.1021E+00
  0.1064E+00  0.1110E+00  0.1157E+00  0.1207E+00  0.1259E+00  0.1314E+00
  0.1371E+00  0.1431E+00  0.1494E+00  0.1560E+00  0.1630E+00  0.1703E+00
  0.1779E+00  0.1860E+00  0.1945E+00  0.2035E+00  0.2130E+00  0.2230E+00
  0.2337E+00  0.2449E+00  0.2569E+00  0.2697E+00  0.2833E+00  0.2979E+00
  0.3136E+00  0.3306E+00  0.3489E+00  0.3689E+00  0.3908E+00  0.4148E+00
  0.4413E+00  0.4710E+00  0.5043E+00  0.5420E+00  0.5851E+00  0.6342E+00
  0.6875E+00  0.7382E+00  0.7744E+00  0.7851E+00  0.7654E+00  0.7175E+00
  0.6332E+00  0.4983E+00  0.2408E+00  0.3683E-01  0.3834E-01  0.3993E-01
  0.4161E-01  0.4337E-01  0.4523E-01  0.4718E-01  0.4921E-01  0.5134E-01
  0.5357E-01  0.5589E-01  0.5832E-01  0.6085E-01  0.6350E-01  0.6626E-01
  0.6914E-01  0.7214E-01  0.7529E-01  0.7856E-01  0.8199E-01  0.8557E-01
  0.8931E-01  0.9322E-01  0.9731E-01  0.1016E+00  0.1061E+00  0.1107E+00
  0.1156E+00  0.1208E+00  0.1261E+00  0.1317E+00  0.1376E+00  0.1438E+00
  0.1503E+00  0.1571E+00  0.1642E+00  0.1717E+00  0.1796E+00  0.1878E+00
  0.1966E+00  0.2057E+00  0.2154E+00  0.2256E+00  0.2364E+00  0.2479E+00
  0.2600E+00  0.2729E+00  0.2866E+00  0.3013E+00  0.3171E+00  0.3340E+00
  0.3522E+00  0.3720E+00  0.3935E+00  0.4170E+00  0.4428E+00  0.4714E+00
  0.5032E+00  0.5389E+00  0.5793E+00  0.6251E+00  0.6757E+00  0.7273E+00
  0.7710E+00  0.7965E+00  0.7966E+00  0.7695E+00  0.7193E+00  0.6352E+00
  0.5010E+00  0.1989E+00  0.3683E-01  0.3834E-01  0.3992E-01  0.4157E-01
  0.4331E-01  0.4512E-01  0.4703E-01  0.4903E-01  0.5113E-01  0.5334E-01
  0.5565E-01  0.5807E-01  0.6062E-01  0.6328E-01  0.6607E-01  0.6899E-01
  0.7206E-01  0.7526E-01  0.7862E-01  0.8214E-01  0.8582E-01  0.8967E-01
  0.9370E-01  0.9793E-01  0.1023E+00  0.1070E+00  0.1118E+00  0.1169E+00
  0.1222E+00  0.1278E+00  0.1336E+00  0.1397E+00  0.1461E+00  0.1529E+00
  0.1599E+00  0.1673E+00  0.1751E+00  0.1833E+00  0.1919E+00  0.2009E+00
  0.2104E+00  0.2205E+00  0.2311E+00  0.2423E+00  0.2541E+00  0.2667E+00
